Drug|||11152667
Drug|||208908
Drug|||51001932
Drug|||17755052
Drug|||3385
Drug|||11707110
Drug|||5330286
Drug|||11640390
Drug|||11626560
Drug|||11488320
Drug|||24856436
Drug|||5311
Drug|||24978538
Drug|||23725625
Drug|||135539077
Drug|||6450551
Drug|||135398516
Drug|||24964624
Drug|||1401
Drug|||10184653
Drug|||24866313
Drug|||46926973
Drug|||9858940
Drug|||44462760
Drug|||24785538
Drug|||176158
Drug|||51039095
Drug|||25262965
Drug|||24360
Drug|||60838
Drug|||3062316
Drug|||216239
Drug|||11977753
Drug|||25126798
Drug|||176870
Drug|||10090485
Drug|||644241
Drug|||5278396
Drug|||135400873
Drug|||11364421
Drug|||5494449
Drug|||51371303
Drug|||16095342
Drug|||51042438
Drug|||56649450
Drug|||44137675
Drug|||11327430
Drug|||156422
Drug|||10384072
Drug|||9914412
Drug|||24771867
Drug|||4261
Drug|||44631912
Drug|||49846579
Drug|||46907787
Drug|||387447
Drug|||5311497
Drug|||60750
Drug|||36314
Drug|||148124
Drug|||5702198
